Name,Image,Price,PhanLoai,Quan jogger,Quan jean,Quan au,Ao thun nam,Ao khoac,Ao so mi,Ao hoodie
Áo sơ mi tay ngắn có thêu LOOSE form - 10S21SHS010,https://routine.vn/media/catalog/product/cache/a2fcefb561dcc03dd69ce08e688653ae/1/0/10s21shs010-be.1_1.jpg, 480.000₫,0,0,0,0,0,0,1,0
Quần Jean trơn SLIM FIT  - 10F20DPA076R1,https://routine.vn/media/catalog/product/cache/a2fcefb561dcc03dd69ce08e688653ae/1/0/10f20dpa076r1.1_1.jpg, 312.000₫,1,0,1,0,0,0,0,0
Áo Khoác Chần Bông Cổ VREGULAR - 10F21JAC012,https://routine.vn/media/catalog/product/cache/a2fcefb561dcc03dd69ce08e688653ae/1/0/10f21jac012-black.1_1.jpg, 850.000₫,0,0,0,0,0,1,0,0
Áo Khoác CaroREGULAR - 10F21JAC019,https://routine.vn/media/catalog/product/cache/a2fcefb561dcc03dd69ce08e688653ae/1/0/10f21jac019.1_1.jpg, 850.000₫,0,0,0,0,0,1,0,0
Áo Polo  Dệt Kim Tay NgắnSLIMFIT - 10F21POL013,https://routine.vn/media/catalog/product/cache/a2fcefb561dcc03dd69ce08e688653ae/1/0/10f21pol013-r_u.1_1.jpg, 480.000₫,0,0,0,0,1,0,0,0
Áo sơmi tay dài Pure Linen REGULAR - 10F21SHL001C,https://routine.vn/media/catalog/product/cache/a2fcefb561dcc03dd69ce08e688653ae/1/0/10f21shl001c.1_1.jpg, 550.000₫,0,0,0,0,0,0,1,0
Áo sơmi tay dài Cotton Lycra SLIM - 10F21SHL004C,https://routine.vn/media/catalog/product/cache/a2fcefb561dcc03dd69ce08e688653ae/1/0/10f21shl004c.1_1.jpg, 430.000₫,0,0,0,0,0,0,1,0
Nón Kaki nam Bucket hai mặt FREESIZE form - 10S21CAP006,https://routine.vn/media/catalog/product/cache/a2fcefb561dcc03dd69ce08e688653ae/1/0/10s21cap006-khaki.1_3.jpg, 220.000₫,2,0,0,0,0,0,0,0
Áo polo nẹp nút ẩn - 10S21POL024,https://routine.vn/media/catalog/product/cache/a2fcefb561dcc03dd69ce08e688653ae/1/0/10s21pol024-black.1_1.jpg, 450.000₫,0,0,0,0,1,0,0,0
Áo Polo nhãn trang trí FITTED form - 10S21POL026,https://routine.vn/media/catalog/product/cache/a2fcefb561dcc03dd69ce08e688653ae/1/0/10s21pol026-black.1_1.jpg, 380.000₫,0,0,0,0,1,0,0,0
Áo sơ mi tay dài lai cao thấp FITTED form - 10S21SHL004,https://routine.vn/media/catalog/product/cache/a2fcefb561dcc03dd69ce08e688653ae/1/0/10s21shl004.1_1.jpg, 420.000₫,0,0,0,0,0,0,1,0
Áo sơ mi tay dài túi trước ngực REGULAR form - 10S21SHL009,https://routine.vn/media/catalog/product/cache/a2fcefb561dcc03dd69ce08e688653ae/1/0/10s21shl009.1_1.jpg, 520.000₫,0,0,0,0,0,0,1,0
Áo sơ mi tay dài kẻ sọc REGULAR form - 10S21SHL015,https://routine.vn/media/catalog/product/cache/a2fcefb561dcc03dd69ce08e688653ae/1/0/10s21shl015.1_1.jpg, 420.000₫,0,0,0,0,0,0,1,0
Áo sơ mi tay dài rã thân trước REGULAR form - 10S21SHL017,https://routine.vn/media/catalog/product/cache/a2fcefb561dcc03dd69ce08e688653ae/1/0/10s21shl017.1_1.jpg, 450.000₫,0,0,0,0,0,0,1,0
Áo sơ mi tay dài Point label OVERSIZE form - 10S21SHL020,https://routine.vn/media/catalog/product/cache/a2fcefb561dcc03dd69ce08e688653ae/1/0/10s21shl020-black.1_1.jpg, 450.000₫,0,0,0,0,0,0,1,0
Áo sơ mi tay ngắn túi ngực trước - 10S21SHS014,https://routine.vn/media/catalog/product/cache/a2fcefb561dcc03dd69ce08e688653ae/1/0/10s21shs014-black.1_1.jpg, 420.000₫,0,0,0,0,0,0,1,0
Áo Sơ Mi Tay Ngắn REGULAR - 10S21SHS034,https://routine.vn/media/catalog/product/cache/a2fcefb561dcc03dd69ce08e688653ae/1/0/10s21shs034-be.1_1.jpg, 450.000₫,0,0,0,0,0,0,1,0
Áo Blazer KhakiRegular - 10F21VES003,https://routine.vn/media/catalog/product/cache/a2fcefb561dcc03dd69ce08e688653ae/5/_/5.8_1.jpg, 1.050.000₫,0,0,0,0,0,1,0,0
Áo Blazer Texture FITTED - 10F21VES005,https://routine.vn/media/catalog/product/cache/a2fcefb561dcc03dd69ce08e688653ae/1/1/11.4_1.jpg, 1.450.000₫,0,0,0,0,0,1,0,0
Áo Blazer Bobby Texture FITTED - 10F21VES006,https://routine.vn/media/catalog/product/cache/a2fcefb561dcc03dd69ce08e688653ae/1/0/10.5_1.jpg, 1.450.000₫,0,0,0,0,0,1,0,0
